Holger Diessel. 2013. Distance Contrasts in Demonstratives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/41, Accessed on 2016-05-11.)


wals code	name	value	description	latitude	longitude	genus	family	area
ing	Ingush	2	Two-way contrast	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Nominal Categories
inr	Inuktitut (Rankin Inlet)	2	Two-way contrast	63.0	-92.0	Eskimo	Eskimo-Aleut	Nominal Categories
irq	Iraqw	4	Four-way contrast	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Nominal Categories
iri	Irish	3	Three-way contrast	53.0	-8.0	Celtic	Indo-European	Nominal Categories
ita	Italian	2	Two-way contrast	43.0	12.0	Romance	Indo-European	Nominal Categories
jak	Jakaltek	2	Two-way contrast	15.6666666667	-91.6666666667	Mayan	Mayan	Nominal Categories
jpn	Japanese	3	Three-way contrast	37.0	140.0	Japanese	Japanese	Nominal Categories
juh	Ju|'hoan	3	Three-way contrast	-19.0	21.0	Ju-Kung	Kxa	Nominal Categories
kab	Kabardian	2	Two-way contrast	43.5	43.5	Northwest Caucasian	Northwest Caucasian	Nominal Categories
kbl	Kabyle	3	Three-way contrast	36.5	5.0	Berber	Afro-Asiatic	Nominal Categories
krr	Kairiru	3	Three-way contrast	-3.33333333333	143.583333333	Oceanic	Austronesian	Nominal Categories
kam	Kambera	4	Four-way contrast	-9.83333333333	120.166666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
knd	Kannada	2	Two-way contrast	14.0	76.0	Southern Dravidian	Dravidian	Nominal Categories
knr	Kanuri	2	Two-way contrast	12.0	13.0	Western Saharan	Saharan	Nominal Categories
krg	Karanga	2	Two-way contrast	-20.0	31.0	Bantoid	Niger-Congo	Nominal Categories
kas	Kashmiri	2	Two-way contrast	34.0	76.0	Indic	Indo-European	Nominal Categories
kyl	Kayah Li (Eastern)	2	Two-way contrast	19.0	97.5	Karen	Sino-Tibetan	Nominal Categories
kay	Kayardild	2	Two-way contrast	-17.05	139.5	Tangkic	Tangkic	Nominal Categories
ker	Kera	1	No distance contrast	9.83333333333	15.0833333333	East Chadic	Afro-Asiatic	Nominal Categories
ket	Ket	3	Three-way contrast	64.0	87.0	Yeniseian	Yeniseian	Nominal Categories
kha	Khalkha	2	Two-way contrast	47.0	105.0	Mongolic	Altaic	Nominal Categories
khs	Khasi	3	Three-way contrast	25.5	92.0	Khasian	Austro-Asiatic	Nominal Categories
kho	Khoekhoe	2	Two-way contrast	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
klb	Kilba	3	Three-way contrast	10.3333333333	13.1666666667	Biu-Mandara	Afro-Asiatic	Nominal Categories
klv	Kilivila	3	Three-way contrast	-8.5	151.083333333	Oceanic	Austronesian	Nominal Categories
kio	Kiowa	2	Two-way contrast	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
kis	Kisi	2	Two-way contrast	8.83333333333	-10.1666666667	Mel	Niger-Congo	Nominal Categories
klm	Klamath	2	Two-way contrast	42.5	-121.5	Klamath-Modoc	Penutian	Nominal Categories
koa	Koasati	5	Five (or more)-way contrast	34.8333333333	-85.1666666667	Muskogean	Muskogean	Nominal Categories
kob	Kobon	2	Two-way contrast	-5.16666666667	144.333333333	Madang	Trans-New Guinea	Nominal Categories
kok	Kokborok	2	Two-way contrast	24.3333333333	92.5	Bodo-Garo	Sino-Tibetan	Nominal Categories
kor	Korean	3	Three-way contrast	37.5	128.0	Korean	Korean	Nominal Categories
kfe	Koromfe	1	No distance contrast	14.25	-0.916666666667	Gur	Niger-Congo	Nominal Categories
kos	Kosraean	3	Three-way contrast	5.3	163.0	Oceanic	Austronesian	Nominal Categories
kse	Koyraboro Senni	1	No distance contrast	16.0	0.0	Songhay	Songhay	Nominal Categories
kro	Krongo	3	Three-way contrast	10.5	30.0	Kadugli	Kadu	Nominal Categories
knm	Kunama	2	Two-way contrast	14.5	37.0	Kunama	Kunama	Nominal Categories
kut	Kutenai	3	Three-way contrast	49.5	-116.0	Kutenai	Kutenai	Nominal Categories
kwa	Kwaio	2	Two-way contrast	-8.95	161.0	Oceanic	Austronesian	Nominal Categories
kwm	Kwami	2	Two-way contrast	10.4166666667	11.0	West Chadic	Afro-Asiatic	Nominal Categories
lkt	Lakhota	3	Three-way contrast	43.8333333333	-101.833333333	Core Siouan	Siouan	Nominal Categories
lan	Lango	3	Three-way contrast	2.16666666667	33.0	Nilotic	Eastern Sudanic	Nominal Categories
lat	Latvian	2	Two-way contrast	57.0	24.0	Baltic	Indo-European	Nominal Categories
lav	Lavukaleve	3	Three-way contrast	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Nominal Categories
lez	Lezgian	3	Three-way contrast	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
lim	Limbu	2	Two-way contrast	27.1666666667	87.75	Mahakiranti	Sino-Tibetan	Nominal Categories
lit	Lithuanian	2	Two-way contrast	55.0	24.0	Baltic	Indo-European	Nominal Categories
lon	Loniu	2	Two-way contrast	-2.06666666667	147.333333333	Oceanic	Austronesian	Nominal Categories
luo	Luo	3	Three-way contrast	-0.5	34.75	Nilotic	Eastern Sudanic	Nominal Categories
mac	Macushi	2	Two-way contrast	4.0	-60.0	Cariban	Cariban	Nominal Categories
mak	Makah	2	Two-way contrast	48.3333333333	-124.666666667	Southern Wakashan	Wakashan	Nominal Categories
mal	Malagasy	5	Five (or more)-way contrast	-20.0	47.0	Barito	Austronesian	Nominal Categories
mym	Malayalam	2	Two-way contrast	10.0	76.5	Southern Dravidian	Dravidian	Nominal Categories
mlt	Maltese	2	Two-way contrast	35.9166666667	14.4166666667	Semitic	Afro-Asiatic	Nominal Categories
mam	Mam	1	No distance contrast	15.0	-91.8333333333	Mayan	Mayan	Nominal Categories
mnm	Manam	2	Two-way contrast	-4.0	145.0	Oceanic	Austronesian	Nominal Categories
mnd	Mandarin	2	Two-way contrast	34.0	110.0	Chinese	Sino-Tibetan	Nominal Categories
mao	Maori	3	Three-way contrast	-40.0	176.0	Oceanic	Austronesian	Nominal Categories
map	Mapudungun	3	Three-way contrast	-38.0	-72.0	Araucanian	Araucanian	Nominal Categories
mhi	Marathi	2	Two-way contrast	19.0	76.0	Indic	Indo-European	Nominal Categories
mrg	Margi	2	Two-way contrast	11.0	13.0	Biu-Mandara	Afro-Asiatic	Nominal Categories
mar	Maricopa	5	Five (or more)-way contrast	33.1666666667	-113.166666667	Yuman	Hokan	Nominal Categories
msh	Marshallese	2	Four-way contrast	7.11666666667	171.05	Oceanic	Austronesian	Nominal Categories
mrt	Martuthunira	2	Two-way contrast	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
mau	Maung	3	Three-way contrast	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Nominal Categories
may	Maybrat	3	Three-way contrast	-1.33333333333	132.5	North-Central Bird's Head	West Papuan	Nominal Categories
mei	Meithei	2	Two-way contrast	24.75	94.0	Kuki-Chin	Sino-Tibetan	Nominal Categories
mss	Miwok (Southern Sierra)	2	Two-way contrast	37.5	-120.0	Miwok	Penutian	Nominal Categories
mxc	Mixtec (Chalcatongo)	2	Two-way contrast	17.05	-97.5833333333	Mixtecan	Oto-Manguean	Nominal Categories
miy	Miya	2	Two-way contrast	10.9166666667	9.66666666667	West Chadic	Afro-Asiatic	Nominal Categories
moj	Mojave	2	Two-way contrast	34.6666666667	-114.583333333	Yuman	Hokan	Nominal Categories
mok	Mokilese	3	Three-way contrast	6.66666666667	159.75	Oceanic	Austronesian	Nominal Categories
mul	Mulao	2	Two-way contrast	25.0	108.0	Kam-Tai	Tai-Kadai	Nominal Categories
nan	Nandi	3	Three-way contrast	0.25	35.0	Nilotic	Eastern Sudanic	Nominal Categories
nav	Navajo	5	Five (or more)-way contrast	36.1666666667	-108.0	Athapaskan	Na-Dene	Nominal Categories
ndy	Ndyuka	2	Two-way contrast	4.5	-54.5	Creoles and Pidgins	other	Nominal Categories
nez	Nez Perce	2	Two-way contrast	46.0	-116.0	Sahaptian	Penutian	Nominal Categories
ngl	Ngalakan	2	Two-way contrast	-14.25	134.0	Ngalakan	Gunwinyguan	Nominal Categories
nti	Ngiti	3	Three-way contrast	1.33333333333	30.25	Lendu	Central Sudanic	Nominal Categories
ngi	Ngiyambaa	2	Two-way contrast	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
ngz	Ngizim	2	Two-way contrast	12.0833333333	10.9166666667	West Chadic	Afro-Asiatic	Nominal Categories
niv	Nivkh	2	Two-way contrast	53.3333333333	142.0	Nivkh	Nivkh	Nominal Categories
nko	Nkore-Kiga	3	Three-way contrast	-0.916666666667	29.8333333333	Bantoid	Niger-Congo	Nominal Categories
nbd	Nubian (Dongolese)	2	Two-way contrast	18.25	30.75	Nubian	Eastern Sudanic	Nominal Categories
nku	Nubian (Kunuz)	2	Two-way contrast	23.0	33.0	Nubian	Eastern Sudanic	Nominal Categories
nun	Nung (in Vietnam)	2	Two-way contrast	21.9166666667	106.416666667	Kam-Tai	Tai-Kadai	Nominal Categories
nug	Nunggubuyu	3	Three-way contrast	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Nominal Categories
ond	Oneida	2	Two-way contrast	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Nominal Categories
orh	Oromo (Harar)	2	Two-way contrast	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
pkn	Paakantyi	4	Four-way contrast	-32.5	142.5	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
pai	Paiwan	2	Two-way contrast	22.5	120.833333333	Paiwan	Austronesian	Nominal Categories
pnn	Pangasinan	2	Two-way contrast	15.9166666667	120.333333333	Northern Luzon	Austronesian	Nominal Categories
pan	Panjabi	2	Two-way contrast	31.0	74.0	Indic	Indo-European	Nominal Categories
psm	Passamaquoddy-Maliseet	3	Three-way contrast	45.0	-67.0	Algonquian	Algic	Nominal Categories
pau	Paumarí	3	Three-way contrast	-6.0	-64.0	Arauan	Arauan	Nominal Categories
prs	Persian	2	Two-way contrast	32.0	54.0	Iranian	Indo-European	Nominal Categories
pip	Pipil	2	Two-way contrast	13.8333333333	-89.5833333333	Aztecan	Uto-Aztecan	Nominal Categories
prh	Pirahã	2	Two-way contrast	-7.0	-62.0	Mura	Mura	Nominal Categories
poh	Pohnpeian	3	Three-way contrast	6.88333333333	158.25	Oceanic	Austronesian	Nominal Categories
qhu	Quechua (Huallaga)	3	Three-way contrast	-9.5	-75.5	Quechuan	Quechuan	Nominal Categories
qui	Quileute	4	Four-way contrast	47.9166666667	-124.25	Chimakuan	Chimakuan	Nominal Categories
ram	Rama	2	Two-way contrast	11.75	-83.75	Rama	Chibchan	Nominal Categories
rap	Rapanui	3	Three-way contrast	-27.1166666667	-109.366666667	Oceanic	Austronesian	Nominal Categories
ret	Retuarã	2	Two-way contrast	-0.5	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
rus	Russian	2	Two-way contrast	56.0	38.0	Slavic	Indo-European	Nominal Categories
sam	Samoan	3	Three-way contrast	-13.9166666667	-171.833333333	Oceanic	Austronesian	Nominal Categories
snm	Sanuma	3	Three-way contrast	4.5	-64.6666666667	Yanomam	Yanomam	Nominal Categories
sml	Semelai	2	Two-way contrast	3.0	103.0	Aslian	Austro-Asiatic	Nominal Categories
sla	Slave	2	Two-way contrast	67.0	-125.0	Athapaskan	Na-Dene	Nominal Categories
so	So	2	Two-way contrast	2.58333333333	34.75	Kuliak	Eastern Sudanic	Nominal Categories
som	Somali	4	Four-way contrast	3.0	45.0	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
spa	Spanish	3	Three-way contrast	40.0	-4.0	Romance	Indo-European	Nominal Categories
sup	Supyire	1	No distance contrast	11.5	-5.58333333333	Gur	Niger-Congo	Nominal Categories
swa	Swahili	2	Two-way contrast	-6.5	39.0	Bantoid	Niger-Congo	Nominal Categories
swt	Swati	3	Three-way contrast	-26.5	31.0	Bantoid	Niger-Congo	Nominal Categories
swe	Swedish	2	Two-way contrast	60.0	15.0	Germanic	Indo-European	Nominal Categories
tag	Tagalog	3	Three-way contrast	15.0	121.0	Greater Central Philippine	Austronesian	Nominal Categories
tml	Tamil	2	Two-way contrast	11.0	78.5	Southern Dravidian	Dravidian	Nominal Categories
tas	Tashlhiyt	3	Three-way contrast	31.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
tau	Tauya	2	Two-way contrast	-5.75	145.333333333	Madang	Trans-New Guinea	Nominal Categories
tin	Tinrin	3	Three-way contrast	-21.6666666667	165.75	Oceanic	Austronesian	Nominal Categories
twn	Tiwa (Northern)	3	Three-way contrast	36.5	-105.5	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
tiw	Tiwi	2	Two-way contrast	-11.5	131.0	Tiwian	Tiwian	Nominal Categories
tli	Tlingit	4	Four-way contrast	59.0	-135.0	Tlingit	Na-Dene	Nominal Categories
tng	Tongan	2	Two-way contrast	-21.1666666667	-175.166666667	Oceanic	Austronesian	Nominal Categories
ton	Tonkawa	3	Three-way contrast	30.25	-96.75	Tonkawa	Tonkawa	Nominal Categories
tru	Trumai	2	Two-way contrast	-11.9166666667	-53.5833333333	Trumai	Trumai	Nominal Categories
tsi	Tsimshian (Coast)	2	Two-way contrast	52.5	-129.0	Tsimshianic	Penutian	Nominal Categories
tuk	Tukang Besi	3	Three-way contrast	-5.5	123.5	Celebic	Austronesian	Nominal Categories
tna	Turkana	2	Two-way contrast	3.0	35.5	Nilotic	Eastern Sudanic	Nominal Categories
tur	Turkish	2	Two-way contrast	39.0	35.0	Turkic	Altaic	Nominal Categories
tus	Tuscarora	2	Two-way contrast	36.0	-77.5	Northern Iroquoian	Iroquoian	Nominal Categories
tvl	Tuvaluan	3	Three-way contrast	-8.5	179.166666667	Oceanic	Austronesian	Nominal Categories
tzu	Tzutujil	3	Three-way contrast	14.6666666667	-91.3333333333	Mayan	Mayan	Nominal Categories
tsh	Tümpisa Shoshone	3	Three-way contrast	37.0	-117.0	Numic	Uto-Aztecan	Nominal Categories
udh	Udihe	2	Two-way contrast	47.6666666667	136.25	Tungusic	Altaic	Nominal Categories
urd	Urdu	2	Two-way contrast	25.0	67.0	Indic	Indo-European	Nominal Categories
uri	Urim	3	Three-way contrast	-3.58333333333	142.666666667	Urim	Torricelli	Nominal Categories
urk	Urubú-Kaapor	3	Three-way contrast	-2.33333333333	-46.5	Tupi-Guaraní	Tupian	Nominal Categories
ute	Ute	2	Two-way contrast	39.0	-109.0	Numic	Uto-Aztecan	Nominal Categories
vie	Vietnamese	2	Two-way contrast	10.5	106.5	Viet-Muong	Austro-Asiatic	Nominal Categories
wam	Wambaya	2	Two-way contrast	-18.6666666667	135.75	Wambayan	Mirndi	Nominal Categories
wra	Warao	3	Three-way contrast	9.33333333333	-61.6666666667	Warao	Warao	Nominal Categories
wrd	Wardaman	3	Three-way contrast	-15.5	131.0	Yangmanic	Yangmanic	Nominal Categories
wrk	Warekena	2	Two-way contrast	1.5	-67.5	Inland Northern Arawakan	Arawakan	Nominal Categories
war	Wari'	3	Three-way contrast	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Nominal Categories
wrg	Warrgamay	2	Two-way contrast	-18.5833333333	146.083333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
wat	Watjarri	3	Three-way contrast	-26.0	117.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
wel	Welsh	2	Two-way contrast	52.0	-3.0	Celtic	Indo-European	Nominal Categories
wic	Wichita	2	Two-way contrast	33.3333333333	-97.3333333333	Caddoan	Caddoan	Nominal Categories
wly	Wolaytta	2	Two-way contrast	6.83333333333	37.75	North Omotic	Afro-Asiatic	Nominal Categories
ygr	Yagaria	3	Three-way contrast	-6.33333333333	145.416666667	Eastern Highlands	Trans-New Guinea	Nominal Categories
yag	Yagua	2	Two-way contrast	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Nominal Categories
ynk	Yankuntjatjara	2	Two-way contrast	-27.0	132.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
yid	Yidiny	3	Three-way contrast	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
yim	Yimas	3	Three-way contrast	-4.66666666667	143.55	Lower Sepik	Lower Sepik-Ramu	Nominal Categories
yor	Yoruba	2	Two-way contrast	8.0	4.33333333333	Defoid	Niger-Congo	Nominal Categories
yko	Yukaghir (Kolyma)	2	Two-way contrast	65.75	150.833333333	Yukaghir	Yukaghir	Nominal Categories
yus	Yupik (Siberian)	2	Two-way contrast	65.0	-173.0	Eskimo	Eskimo-Aleut	Nominal Categories
